candidate,year_week,z_score,category,top_post_text_preview,reasoning
S. Chikirou (LFI),2025-W30,5.63,VIRALITÉ ORGANIQUE,URGENT Toutes les communications internet avec le Handala ont été coupées. Nous avons perdu le conta,Engagement élevé (38560) avec texte court (200 caractères)
T. Mariani (RN),2025-W33,4.84,ÉVÉNEMENT,Charlotte Caubel vient d'être nommée par l'Elysée Procureur adjointe à Paris. Elle dirigera une des ,Texte contient mot-clé politique: 'nommée'
I. Brossat (PCF),2025-W30,4.53,VIRALITÉ ORGANIQUE,Un journaliste salit la mémoire de mon grand-père : ma réponse.(Bonne fête des grands-parents à tout,Engagement élevé (29913) avec texte court (113 caractères)
S. Knafo (Reconquête),2025-W34,4.38,VIRALITÉ ORGANIQUE,"Merveilleux moments au Puy du Fou, chef d’œuvre de beauté et d’émotion. Il nous faut un Philippe d",Engagement élevé (89134) avec texte court (149 caractères)
R. Dati (LR),2025-W11,4.37,ÉVÉNEMENT,Émilie Dequenne nous a quittés après s’être battue contre la maladie. Revélée dans Rosetta des frère,Texte contient mot-clé politique: 'nommée'
S. Chikirou (LFI),2025-W30,4.22,AMPLIFICATION SUSPECTE,"🔴 ""Génocide"", ce mot que les macronistes veulent vous interdire pour parler de #Gaza.#StopGénocide","z_global élevé (4.22), possible amplification homogène"
S. Knafo (Reconquête),2025-W33,4.05,VIRALITÉ ORGANIQUE,"Le nombre d’agriculteurs est passé de 1,2 million en 1980 à 400 000 en 2024. Sur la même période",Engagement élevé (127006) avec texte court (200 caractères)
R. Dati (LR),2025-W09,4.0,VIRALITÉ ORGANIQUE,"Actrice d’exception, icône intemporelle, @juliaroberts a marqué l’histoire du cinéma par son tale",Engagement élevé (54465) avec texte court (200 caractères)
R. Dati (LR),2025-W39,3.75,VIRALITÉ ORGANIQUE,"Depuis plus de 30 ans, @karine.le.marchand accompagne les Français avec bienveillance, humour et au",Engagement élevé (51632) avec texte court (200 caractères)
E. Grégoire (PS),2025-W43,3.73,AMPLIFICATION SUSPECTE,"Mon Paris, c’est un Paris pour toutes et tous. Rachida Dati, c’est la ville pour quelques-uns, uniqu","z_global élevé (3.73), possible amplification homogène"
