candidate_id,candidate_label,platform,year_week,week_start,er_median,z_score,z_global,z_rolling,anomaly_type,volume,top_post_text,top_post_engagement
david_belliard,D. Belliard (EELV),twitter,2025-W25,2025-06-17,0.004089,2.33,2.22,2.33,pic_significatif,5,"Les députés qui ont voté la fin des ZFE viennent de mettre en péril la santé de centaine de milliers de nos concitoyennes et concitoyens, victimes de la pollution de l'air. C'est irresponsable et mens | Il fait tres chaud, c'est la canicule.
Paris à 50 degrés, ça va arriver. Arbres, accès à l'eau, volets, piscine de nuit... Ce que je veux, c'est garantir un ""droit à l'ombre et à la fraîcheur"" à Paris | Insulter, menacer, diffamer des journalistes quand on lui pose des questions, c'est ça, Rachida Dati. Honteux et glaçant.",1554
david_belliard,D. Belliard (EELV),twitter,2025-W43,2025-10-20,0.001054,2.29,-0.39,2.29,pic_significatif,13,"Comment ne pas préférer l’après à l’avant | 200 postes sécurité ont été supprimés au Louvre. Une faute alors que, ds le même temps, Macron/Dati portent un méga projet inutile de 800m d'€ pour relier le Louvre à la Samaritaine. Oui, la responsab | Cette image est une insulte pour la justice de notre pays. Honte. Toute la droite parisienne est aux côtés de Sarkozy, condamné pour association de malfaiteurs en lien avec un terroriste. L'occasion s",13081
david_belliard,D. Belliard (EELV),twitter,2025-W44,2025-10-27,0.001893,2.21,0.33,2.21,pic_significatif,19,"Ils voulaient criminaliser les étrangers. Nous avons dit non. Victoire ! | J'ai avec Mme Dati une opposition majeure sur le logement : je veux 40% de logement social & public, elle se contente de 3% dans le 7e. Mais de là à faire de ces personnes à la rue des bêtes de foire, | Horizons vote toutes les propositions racistes du RN à l’Assemblée. Voilà le visage du macronisme « modéré » que le candidat à la mairie de Paris Pierre-Yves Bournazel est censé représenter. Les Paris",4664
david_belliard,D. Belliard (EELV),twitter,2025-W47,2025-11-17,0.003036,2.02,1.31,2.02,pic_significatif,19,"Cet homme, Amine Kessaci, est admirable. Au-delà des incantations, la lutte contre le narco-trafic, après des années de laisser-faire, réclame une volonté, un plan et des moyens qui dépassent largemen | Rachida Dati et la droite viennent de faire tomber une subvention pour les librairies indépendantes. Une honte de la part de la ministre de la culture, pour qui la seule culture qui vaille c’est appar | Moi, ça ne me fait pas rire.
A Paris, les actes lgbtphobes augmentent. Nos amours ne sont pas des appels à la haine, même habillés de 2nd degré. Paris est une ville ""woke"", comme ils disent, soy",2720
emmanuel_gregoire,E. Grégoire (PS),twitter,2025-W33,2025-08-11,0.002839,2.16,1.55,2.16,pic_significatif,7,"L’espoir à gauche en #Israel vient de cet homme : #YairGolan, 63 ans , ancien major général de l’armée israélienne , héros du #7Octobre , car il est parti , de sa propre initiative , sauver des civils | Jacques Martial nous a quittés. C’était un homme et une voix de culture, de cinéma, de théâtre, d’engagement. À la tête de l'Établissement public du parc et de la grande halle de la Villette comme à l | C'est odieux, c'est barbare, c'est intolérable. Abattre l'olivier planté en mémoire d'Ilan Halimi, c'est outrager la République et menacer la paix. L'antisémitisme ne tue plus seulement les Juif",1170
emmanuel_gregoire,E. Grégoire (PS),twitter,2025-W43,2025-10-21,0.004798,3.73,3.73,2.15,pic_viral,6,"Mon Paris, c’est un Paris pour toutes et tous. Rachida Dati, c’est la ville pour quelques-uns, uniquement les plus privilégiés. La gauche à Paris, c’est un investissement massif dans le logement socia | Faut-il attendre que la Joconde soit volée pour enfin avoir une véritable Ministre de la culture ? Rachida Dati doit démissionner. | La France ne peut plus laisser une poignée d’acteurs concentrer le pouvoir d’information. J'ai déposé une proposition de loi pour réarmer l’État républicain avec deux objectifs : créer un cadre clair ",1404
emmanuel_gregoire,E. Grégoire (PS),twitter,2025-W47,2025-11-18,0.003339,2.11,2.11,0.88,pic_significatif,9,"J’ai regardé la vidéo de Rachida Dati avec les éboueurs. Et franchement : ça suffit. | Vous qui avez porté en justice la question de la fermeture des quais aux voitures, vous qui vous y êtes opposée envers et contre tout, vous reconnaissez enfin votre erreur, Madame Dati ? Pour moi, pas | La droite parisienne, nouveau relai de Vincent Bolloré Ce matin en Conseil de Paris, le groupe Changer Paris de Madame Dati, ministre de la Culture, a voté CONTRE le versement de 500 000 € en soutien ",1212
emmanuel_gregoire,E. Grégoire (PS),twitter,2025-W48,2025-11-24,0.003339,2.11,2.11,0.69,pic_significatif,11,"Emmanuel Grégoire : ""Je porte cette cicatrice comme beaucoup de personnes qui ont gardé le silence"" Le député PS de Paris, victime de violences sexuelles lors de son enfance, a décidé de s'exprimer su | La vérité est que Madame Dati déteste les pauvres et les classes moyennes, qui ont besoin du logement social. C’est pour ça que son arrondissement est le moins doté en logements sociaux. C’est pour ça | Jeudi dernier, au Conseil de Paris, la droite parisienne a voté contre 500 000 € de soutien aux librairies indépendantes. C’est un choix idéologique insidieux mais clair, une offensive contre la",2800
ian_brossat,I. Brossat (PCF),twitter,2025-W09,2025-02-26,0.01975,3.12,3.12,1.88,pic_viral,6,"Pour rappel, quand cet énergumène a été rappelé à l’ordre par l’ARCOM, c’était pour avoir expliqué que le ghetto de Varsovie a été créé pour « protéger du typhus » | La France de 2025 n’est pas l’Afrique du Sud au temps de l’apartheid. J’ai saisi le parquet de Paris après les révélations de @libe sur l’organisation de soirées « réservées aux Européens » par l’ultr | Quel symbole. Abou Sangaré gagne le César de la meilleure révélation masculine ce soir. Il était sous OQTF il y a quelques semaines. La France qu’on aime !",11064
ian_brossat,I. Brossat (PCF),twitter,2025-W31,2025-07-28,0.019019,2.93,2.93,1.98,pic_significatif,11,"An Israeli settler just shot Odeh Hadalin in the lungs, a remarkable activist who helped us film No Other Land in Masafer Yatta. Residents identified Yinon Levi, sanctioned by the EU and US, as the sh | Paris is removing cars in their downtown and around schools and the results are amazing. | La fraude sociale : 13 milliards d’euros. La fraude fiscale : 60 à 80 milliards d’euros. Les aides publiques aux entreprises sans contrepartie : 211 milliards d’euros. Devinez à quoi le gouvernement d",53029
